date,open,high,low,close,volume,shares_owned,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2024-03-04,26.01448631286621,26.01448631286621,26.01448631286621,26.01448631286621,415,20,-0.014545463215725474,0.4324214475633923,-7.680000000000064,527.97,520.29
2024-03-05,26.01448631286621,26.01448631286621,26.01448631286621,26.01448631286621,120,20,0.0,0.4324214475633923,0.0,520.29,520.29
2024-03-06,26.494458984353695,28.798324584960938,26.494458984353695,28.798324584960938,200,20,0.10701107985045621,0.5857064134681045,55.680000000000064,520.29,575.97
2024-03-07,28.4143473370219,28.510342118653536,27.646390914916992,27.646390914916992,843,20,-0.04000002384324497,0.5222781191209938,-23.040000000000077,575.97,552.93
2024-03-08,27.45440101623535,27.45440101623535,27.45440101623535,27.45440101623535,0,20,-0.006944483251810296,0.5117066842181608,-3.839999999999918,552.93,549.09
2024-03-11,28.510340957816137,28.510340957816137,27.838379344702695,28.126361846923828,1468,20,0.0244755232609557,0.5487064963314845,13.43999999999994,549.09,562.53
2024-03-12,27.93437385559082,27.93437385559082,27.93437385559082,27.93437385559082,0,20,-0.00682590917296344,0.5381351664519474,-3.839999999999918,562.53,558.69
2024-03-13,27.74238395690918,27.74238395690918,27.74238395690918,27.74238395690918,0,20,-0.006872890714291646,0.5275637315491144,-3.840000000000032,558.69,554.85
2024-03-14,28.030370712280273,28.030370712280273,28.030370712280273,28.030370712280273,0,20,0.010380750112117587,0.5434209889266597,5.759999999999991,554.85,560.61
2024-03-15,27.838380754524362,28.990314483642578,27.358408672549807,28.990314483642578,829,20,0.034246559962253675,0.5962778483709374,19.199999999999932,560.61,579.81
2024-03-18,28.7023298034881,31.198184967041016,28.7023298034881,31.198184967041016,1100,20,0.07615890074749632,0.7178486145904466,44.15000000000009,579.81,623.96
2024-03-19,30.718212890625,31.198184967041016,30.718212890625,31.198184967041016,171,20,0.0,0.7178486145904466,0.0,623.96,623.96
2024-03-20,31.29417782553356,31.29417782553356,31.102191925048828,31.102191925048828,568,20,-0.0030768790586246375,0.7125630021623259,-1.9200000000000728,623.96,622.04
2024-03-21,30.718212269610465,33.21406555175781,30.718212269610465,33.21406555175781,100,20,0.06790111873138249,0.828847945907123,42.24000000000001,622.04,664.28
2024-03-22,32.63809877324367,32.63809877324367,32.0621337890625,32.0621337890625,356,20,-0.03468204640290862,0.7654197565833081,-23.039999999999964,664.28,641.24
2024-03-25,31.67815589507352,32.92608251613657,31.67815589507352,32.8300895690918,240,20,0.0239521107697227,0.8077052861480483,15.360000000000014,641.24,656.6
2024-03-26,32.44611130725501,33.40605545043945,32.44611130725501,33.40605545043945,10,20,0.017543841302519736,0.8394193808099557,11.519999999999982,656.6,668.12
2024-03-27,33.50205199780605,35.709922790527344,33.50205199780605,35.709922790527344,50,20,0.06896556055550662,0.9662759695041772,46.08000000000004,668.12,714.2
2024-03-28,35.03796115920444,35.709922790527344,34.46199613915412,35.709922790527344,141,20,0.0,0.9662759695041772,0.0,714.2,714.2
2024-04-02,35.22995038456134,35.5179328918457,35.22995038456134,35.5179328918457,150,20,-0.005376373950956026,0.9557045346013442,-3.840000000000032,714.2,710.36
